[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
CIGID N032.59.52.640 W105.56.04.000
CIKIB N033.10.35.470 W103.14.33.970
CIMID N032.27.17.100 W103.18.26.390
CIMUX N032.48.53.580 W103.40.15.890
CIMVU N032.55.17.110 W106.02.05.970
CINAG N031.48.20.830 W106.20.00.040
CINAN N035.01.00.770 W107.46.10.220
CIPAT N034.23.13.350 W103.07.38.550
CIPED N035.10.41.720 W101.46.04.300
CIPLI N035.14.11.810 W101.41.34.710
CIPLU N033.42.21.800 W111.45.32.080
CIPVU N034.49.44.710 W102.20.48.830
CIRKA N032.32.06.400 W107.25.16.170
CIRUB N037.08.29.330 W107.45.48.050
CIRVI N031.35.50.680 W110.13.21.800
CIRVO N033.25.34.000 W112.21.10.830
CISAP N033.50.16.940 W101.49.48.390
CISVU N036.21.16.490 W100.07.24.660
CITAL N033.06.40.020 W107.19.29.490
CITAT N031.48.31.630 W103.13.57.560
CITIS N036.44.19.280 W108.17.06.510
CITOS N031.34.55.110 W110.06.22.060
CITUR N032.29.15.630 W108.07.42.110
CITUT N032.38.25.160 W111.15.42.550
CIVAD N036.57.30.470 W100.57.22.360
CIVAT N035.22.52.240 W113.38.42.250
CIXAV N035.55.38.600 W100.21.55.700
CIXFE N035.16.56.090 W101.38.37.750
CIXOR N031.35.19.900 W110.19.42.500
CLAAS N033.40.12.910 W112.04.54.590
CLAUS N033.14.45.820 W111.53.50.760
CLAWS N032.34.21.990 W108.05.56.440
CLINK N034.11.32.260 W103.24.17.590
CLIPP N034.46.41.700 W115.02.44.510
CLIPS N035.08.44.530 W106.34.38.420
CLOSE N033.22.34.000 W111.41.59.000
CLOUD N032.52.11.840 W105.49.56.110
CLUMP N035.05.41.270 W105.51.50.460
CMBAT N034.39.48.350 W102.58.46.320
CMSTR N035.06.14.970 W106.53.13.010
CNYON N033.32.31.680 W111.18.30.490
COAPT N034.02.59.110 W114.33.18.250
COBKA N035.02.42.810 W106.47.09.270
COBOB N031.51.16.600 W111.02.34.980
COBOY N033.20.28.900 W105.33.22.740
COCAN N036.18.45.090 W110.21.07.080
COCJE N032.18.47.320 W109.48.51.350
CODEN N036.44.50.030 W107.58.08.260
CODOM N034.32.28.810 W103.33.15.330
CODUM N034.56.29.860 W107.05.38.820
COKAR N034.59.51.160 W106.44.10.450
COKRI N037.04.18.220 W107.28.34.420
COLAN N032.26.00.000 W110.20.30.000
COLTR N034.57.22.410 W106.00.43.000
COMEL N032.27.25.120 W111.59.19.780
COMGU N033.03.06.780 W111.34.16.260
COMRO N034.45.35.520 W106.44.44.580
COMUX N032.53.01.390 W114.37.29.140
CONHI N037.23.52.450 W105.27.55.330
CONNE N031.56.03.160 W105.19.46.160
CONOG N033.21.46.570 W102.40.47.960
CONPO N035.33.51.200 W109.08.24.080
COOLY N032.49.03.960 W112.47.05.510
COONS N032.31.37.510 W112.06.57.590
COOPS N033.17.02.300 W105.17.22.300
COORE N035.09.36.050 W106.48.05.200
COPAW N032.53.33.450 W114.37.35.210
COPEY N032.02.09.920 W110.50.44.090
COPOR N033.04.34.400 W105.49.52.900
COPPA N033.10.21.060 W112.39.06.390
COQHU N030.47.25.800 W102.43.27.120
CORAS N033.40.20.460 W105.58.39.390
CORKR N036.05.02.260 W112.24.01.290
CORUD N032.10.23.970 W105.38.37.030
COSES N032.04.42.170 W106.47.09.060
COSIM N030.57.31.440 W104.54.00.640
COSKI N035.04.30.610 W106.32.39.070
COTAC N035.34.56.000 W106.00.07.220
COTBO N032.52.20.780 W106.05.56.730
COTSA N034.31.01.200 W111.53.28.420
COTVA N032.37.57.240 W108.12.49.020
COVOK N032.45.56.160 W114.44.28.920
COVRA N035.27.57.630 W108.58.45.460
COWAT N034.25.10.220 W103.17.03.800
COWBY N035.55.24.840 W113.54.09.940
COWJY N037.35.58.240 W105.38.53.370
COXOT N032.16.07.130 W111.23.02.510
COYAG N036.21.01.280 W102.46.30.850
COYOT N034.10.04.150 W112.09.29.240
COZEY N032.37.55.410 W108.03.48.000
CRADI N034.51.00.550 W112.12.38.940
CRARY N032.45.44.460 W103.07.55.950
CRASS N035.09.24.820 W101.37.21.890
CRATT N032.08.20.840 W107.02.07.560
CREME N035.25.54.630 W100.05.31.510
CRNUL N035.03.58.790 W106.30.27.330
CROIN N035.29.05.250 W107.39.07.240
CROME N032.43.25.280 W111.11.08.050
CROWE N036.04.27.220 W114.19.57.820
